,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-04-13_049,Palmer 1,S041715,5.02,n.d.,n.d.,n.d.,0.37,867.00,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.77,n.d.,69.83,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,2.39,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,46.41,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.43,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
,2022-04-13_050,Palmer 2,S041716,5.00,n.d.,n.d.,n.d.,n.d.,55.51,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.11,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,5.47,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,10.21,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.14,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
,2022-04-13_051,Palmer 3,S041717,4.97,n.d.,n.d.,n.d.,n.d.,63.58,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.29,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.13,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
,2022-04-13_052,Palmer 4,S041718,4.96,n.d.,n.d.,n.d.,n.d.,>ULOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.78,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
,2022-04-13_054,Suddaby 2,S041720,4.98,n.d.,n.d.,n.d.,n.d.,>ULOQ,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,10.04,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
,2022-04-13_055,Suddaby 3,S041721,5.04,n.d.,n.d.,n.d.,n.d.,>ULOQ,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
,,,Large Scale,LOD (ng/g of sample),3.33,2.00,1.00,0.20,3.33,100.00,1.00,3.00,0.67,3.00,0.50,3.00,0.67,4.00,0.17,0.10,3.00,2.00,0.10,0.17,0.33,0.67,0.17,1.00,16.67,0.50,1.50,0.50,15.00,3.33,0.33,4.00,15.00,0.17,0.10,0.17,2.00,3.00,0.50,2.00,2.00,15.00,200.00,5.00,0.10,1.50,5.00,200.00,0.20,1.50,0.50,3.00,3.00,10.00,0.67,50.00,0.50,2.00,2.00,3.33,0.05,0.50,166.67,0.67,3.00,0.33,3.33,3.00,0.20,0.67,50.00,3.33,0.50,2.00,0.50,0.67,2.00,0.20,0.67,50.00,0.50,16.67,10.00,3.33,10.00,10.00,0.50,0.20,4.00,1.00,0.50,200.00,1.00,20.00
,,,(≥1 g),LOQ (ng/g of sample),10.00,6.00,3.00,0.60,10.00,300.00,3.00,9.00,2.00,9.00,1.50,9.00,2.00,12.00,0.50,0.30,9.00,6.00,0.30,0.50,1.00,2.00,0.50,3.00,50.00,1.50,4.50,1.50,45.00,10.00,1.00,12.00,45.00,0.50,0.30,0.50,6.00,9.00,1.50,6.00,6.00,45.00,600.00,15.00,0.30,4.50,15.00,600.00,0.60,4.50,1.50,9.00,9.00,30.00,2.00,150.00,1.50,6.00,6.00,10.00,0.15,1.50,500.00,2.00,9.00,1.00,10.00,9.00,0.60,2.00,150.00,10.00,1.50,6.00,1.50,2.00,6.00,0.60,2.00,150.00,1.50,50.00,30.00,10.00,30.00,30.00,1.50,0.60,12.00,3.00,1.50,600.00,3.00,60.00
,,,,ULOQ (ng/g of sample),10000,8000,10000,8000,10000,6000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,6000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,6000,10000,10000,8000,10000,6000,6000,10000,4000,10000,6000,6000,10000,6000,10000,10000,10000,10000,10000,8000,10000,10000,10000,10000,10000,10000,10000,10000,6000,10000,10000,10000,6000,8000,6000,10000,10000,10000,10000,10000,10000,10000,10000,6000,10000,10000,6000,6000,10000,10000,10000,10000,10000,6000,10000,6000,10000,10000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File Name,Client ID1,Client ID2,Mass (g),Cyromazine,Acephate,Dinotefuran,Thiabendazole,"2,4-DMPF",Oxytetracycline,Thiamethoxam,Clothianidin,Mevinphos,Imidacloprid,Acetamiprid,Flupyradifurone,Thiacloprid,Sulfoxaflor,Tebuthiuron,Prometon,Cyanazine,Thiophanate-methyl,Ametryn,Methoprotryne,Malaoxon,Bendiocarb,Carbofuran,Pyrimethanil,4-Hydroxy-chlorothalonil,Carbaryl,Fluometuron,Atrazine,Sulfentrazone,Diuron,Metalaxyl,Cyantraniliprole,Metobromuron,Prometryn,Terbutryn,Metazachlor,Clomazone,Chlorantraniliprole,Propazine,Methiocarb,Phenmedipham,Fluazifop,Flumioxazin,Fludioxonil,Cyprodinil,Spirotetramat,Bromuconazole,Phosmet,Azoxystrobin,Fenamidone,Myclobutanil,Triadimefon,Fluxapyroxad,Boscalid,Mandipropamid,Fenhexamid,Napropamide,Tetraconazole,Fluopicolide,Tebuconazole,Fluopyram,Methoxyfenozide,Diflubenzuron,Spinosad,Fenbuconazole,Metolachlor,Metconazole,Flufenacet,Dimoxystrobin,Fluoxastrobin,Fumagillin,Propiconazole,Tebufenozide,Fipronil,Triflumizole,Spinetoram,Difenoconazole,Picoxystrobin,Penthiopyrad,Coumaphos,Pyraclostrobin,Thiobencarb,Hexaflumuron,Cyflufenamid,Profenophos,Indoxacarb,Trifloxystrobin,Piperonyl butoxide,Tetramethrin,Fluazinam,Pyriproxyfen,Chlorpyrifos,Fenpyroximate,Avermectin B1a
,2022-04-13_053,Suddaby 1,S041719,0.2591,n.d.,n.d.,n.d.,n.d.,699.61,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.48,n.d.,3.85,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.21,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.74,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.25,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
,,,Small Scale,LOD (ng/g of sample),0.23,0.14,0.07,0.01,0.23,7.00,0.07,0.21,0.05,0.21,0.04,0.21,0.05,0.28,0.01,0.01,0.21,0.14,0.01,0.01,0.02,0.05,0.01,0.07,1.17,0.04,0.11,0.04,1.05,0.23,0.02,0.28,1.05,0.01,0.01,0.01,0.14,0.21,0.04,0.14,0.14,1.05,14.00,0.35,0.01,0.11,0.35,14.00,0.01,0.11,0.04,0.21,0.21,0.70,0.05,3.50,0.04,0.14,0.14,0.23,0.00,0.04,11.67,0.05,0.21,0.02,0.23,0.21,0.01,0.05,3.50,0.23,0.04,0.14,0.04,0.05,0.14,0.01,0.05,3.50,0.04,1.17,0.70,0.23,0.70,0.70,0.04,0.01,0.28,0.07,0.04,14.00,0.07,1.40
,,,(<1 g),LOQ (ng/g of sample),0.70,0.42,0.21,0.04,0.70,21.00,0.21,0.63,0.14,0.63,0.11,0.63,0.14,0.84,0.04,0.02,0.63,0.42,0.02,0.04,0.07,0.14,0.04,0.21,3.50,0.11,0.32,0.11,3.15,0.70,0.07,0.84,3.15,0.04,0.02,0.04,0.42,0.63,0.11,0.42,0.42,3.15,42.00,1.05,0.02,0.32,1.05,42.00,0.04,0.32,0.11,0.63,0.63,2.10,0.14,10.50,0.11,0.42,0.42,0.70,0.01,0.11,35.00,0.14,0.63,0.07,0.70,0.63,0.04,0.14,10.50,0.70,0.11,0.42,0.11,0.14,0.42,0.04,0.14,10.50,0.11,3.50,2.10,0.70,2.10,2.10,0.11,0.04,0.84,0.21,0.11,42.00,0.21,4.20
,,,,ULOQ (ng/g of sample),700,560,700,560,700,420,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,420,700,700,700,700,700,700,700,700,700,700,700,700,700,700,420,700,700,560,700,420,420,700,280,700,420,420,700,420,700,700,700,700,700,560,700,700,700,700,700,700,700,700,420,700,700,700,420,560,420,700,700,700,700,700,700,700,700,420,700,700,420,420,700,700,700,700,700,420,700,420,700,700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Results are in ppb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOD = Limit of Detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOQ = Limit of Quantification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULOQ = Upper Limit of Quantification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
