Pesticide name,CAS #,Pesticide type,Mode of Action-short version,Mode of Action-Classification-site target,Survey inclusion (name),"Screened in a survey (N=0, Y=1)",Number of surveys screening (N),LD50 Oral Geometric mean (ug/bee),Oral LD50 Source,LD50 Contact Geometric mean (ug/bee),Contact LD50 Source,LOAEL Lowest sublethal significant dose of the publication per effect and exposure type (all Unit Measures),LOAEL Unit measure,"LOAEL Lowest sublethal significant dose per publication per effect and exposure type (μg bee-1, or ug bee-1 per day)",LOAEL Category (μg bee-1),SubTR (LOAEL/LD50),SubTR Category,Exposure type (oral vs contact),Exposure type (acute vs chronic),Exposure duration (h),Time (after exposure) of significant effect (h),Main feed type category,Subcategory of feed type,Feed type concentration provided (%),Bee type,Genus,Species,Species details,Sublethal effect main category,Sublethal effect sub-category,Sublethal effect-details,Original reference,Reference year,Review reference
Acetamiprid,135410-20-7,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,6,14.53,PPDB,8.09,PPDB,0.01,μg/bee,0.01,<0.1,0.000688231,<0.001,Oral,Acute,,, ,,,,Apis,Apis mellifera,Apis mellifera,Cognitive,Learning and memory,Decrease of PER performance (in the retrieval test performed 24h after the learning sessions);  Impairment of retrieval at 24 h after learning,"Thany, S. H., C. M. Bourdin, J. Graton, A. D. Laurent, M. Mathe-Allainmat, J. Lebreton, and J. Y. Questel. ""Similar Comparative Low and High Doses of Deltamethrin and Acetamiprid Differently Impair the Retrieval of the Proboscis Extension Reflex in the Forager Honey Bee (Apis Mellifera)."" Insects 6, no. 4 (Sep 28 2015): 805-14.",2015, 
Acetamiprid,135410-20-7,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,6,14.53,PPDB,8.09,PPDB,0.1,μg/bee,0.1,<1,0.006882312,<0.01,Oral,Chronic,,288,,,,,Apis,Apis mellifera,Apis mellifera,Cognitive,Learning and memory, Increase in responsiveness to water,"Aliouane, Y., A. K. El Hassani, V. Gary, C. Armengaud, M. Lambin, and M. Gauthier. ""Subchronic Exposure of Honeybees to Sublethal Doses of Pesticides: Effects on Behavior."" Environ Toxicol Chem 28, no. 1 (Jan 2009): 113-22.",2009, 
Acetamiprid,135410-20-7,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,6,14.53,PPDB,8.09,PPDB,0.1,μg/bee,0.1,<1,0.006882312,<0.01,Oral,Acute,,,,,,,Apis,Apis mellifera,Apis mellifera,Cognitive,Learning and memory,"Increased of sensitivity to antennal stimulation by sucrose solutions; impairment of long term retention of olfactory learning. Decrease in sucrose responsiveness (PER to sucrose), increase in the PER of water, lower performances (olfactory learning and memory)","El Hassani, A. K., M. Dacher, V. Gary, M. Lambin, M. Gauthier, and C. Armengaud. ""Effects of Sublethal Doses of Acetamiprid and Thiamethoxam on the Behavior of the Honeybee (Apis Mellifera)."" Archives of Environmental Contamination and Toxicology 54, no. 4 (May 2008): 653-61.",2008, 
Acetamiprid,135410-20-7,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,6,14.53,PPDB,8.09,PPDB,0.1,μg/bee,0.1,<1,0.012360939,<0.1,Contact,Acute,,,,,,,Apis,Apis mellifera,Apis mellifera,Behavioural,Activity,"Increase of locomotor activity: increase in distance covered, decrease in duration of immobility ; increase in water induced proboscis extension reflex","El Hassani, A. K., M. Dacher, V. Gary, M. Lambin, M. Gauthier, and C. Armengaud. ""Effects of Sublethal Doses of Acetamiprid and Thiamethoxam on the Behavior of the Honeybee (Apis Mellifera)."" Archives of Environmental Contamination and Toxicology 54, no. 4 (May 2008): 653-61.",2008, 
Acetamiprid,135410-20-7,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,6,14.53,PPDB,8.09,PPDB,0.183,μg/bee,0.183,<1,0.012594632,<0.1,Oral,Chronic,240,,Carbohydrates,Sugar solution,,,Apis,Apis cerana,Apis cerana cerana,Physiological,Body development,Decrease of honeybee weight of newly emerged bees,"Han, W., Y. Yang, J. Gao, D. Zhao, C. Ren, S. Wang, S. Zhao, and Y. Zhong. ""Chronic Toxicity and Biochemical Response of Apis Cerana Cerana (Hymenoptera: Apidae) Exposed to Acetamiprid and Propiconazole Alone or Combined."" Ecotoxicology  (2019).",2019, 
Acetochlor,34256-82-1,Herbicide,HRAC K3,HRAC K3,"APHIS, Calatayud-Vernich et al., 2018, Pacific North West, ",1,3,100,PPDB|OpenFoodTox,200,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Acrinathrin,101007-06-1,Insecticide,IRAC 3,IRAC 3A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,6,0.077,PPDB,0.084,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Alachlor,15972-60-8,Herbicide,HRAC K3,HRAC K3,"APHIS, Calatayud-Vernich et al., 2018, Pacific North West, ",1,3,,,16,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Aldicarb,116-06-3,Insecticide,IRAC 1,IRAC 1A,"APHIS, Pacific North West, Porrini et al., 2016, ",1,3,0.16,PPDB,0.28,PPDB,0.00025,μg/bee,0.00025,<0.001,0.0015625,<0.01,Oral,Chronic,24,,,,,,Apis,Apis mellifera,Apis mellifera,Behavioural,Activity,Increase in the percentage of time spent head grooming,"Williamson, S. M., C. Moffat, M. A. Gomersall, N. Saranzewa, C. N. Connolly, and G. A. Wright. ""Exposure to Acetylcholinesterase Inhibitors Alters the Physiology and Motor Function of Honeybees."" Front Physiol 4 (2013): 13.",2013, 
Aldicarb,116-06-3,Insecticide,IRAC 1,IRAC 1A,"APHIS, Pacific North West, Porrini et al., 2016, ",1,3,0.16,PPDB,0.28,PPDB,0.00025,μg/bee,0.00025,<0.001,0.0015625,<0.01,Oral,Chronic,24,,,,,,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,"Increase in AChE-2 transcript levels in brain tissue and gut tissue, ","Williamson, S. M., C. Moffat, M. A. Gomersall, N. Saranzewa, C. N. Connolly, and G. A. Wright. ""Exposure to Acetylcholinesterase Inhibitors Alters the Physiology and Motor Function of Honeybees."" Front Physiol 4 (2013): 13.",2013, 
Aldicarb sulfone,1646-88-4,Insecticide,IRAC 1,IRAC 1A,"APHIS, Pacific North West, Porrini et al., 2016, ",1,3,,,50,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Aldicarb sulfoxide,1646-87-3,Insecticide,IRAC 1,IRAC 1A,"APHIS, Pacific North West, Porrini et al., 2016, ",1,3,,,,,3,ppm,0.002439719,<0.01,,,Oral,Chronic,336,,Carbohydrates,Sugar solution,50,Adults,Apis,Apis mellifera,Apis mellifera,Behavioural,Feeding,Repellency- Inhibition of sucrose solution consumption,"Nigg, H. N., R. V. Russ, W. D. Mahon, J. H. Stamper, and J. L. Knapp. 1991. ""CONTAMINATION OF SUCROSE SOLUTION WITH ALDICARB SULFOXIDE INHIBITS FORAGING BY HONEYBEES (HYMENOPTERA, APIDAE).""  Journal of Economic Entomology 84 (3):810-813. doi: 10.1093/jee/84.3.810.",1991,"Thompson, Helen M. ""Behavioural Effects of Pesticides in Bees - Their Potential for Use in Risk Assessment."" Ecotoxicology 12, no. 1/4 (Feb-Aug 2003): 317-30."
Aldrin,309-00-2 ,Insecticide,IRAC 2,IRAC 2A,"APHIS, Pacific North West, ",1,2,0.35,PPDB,,,,,,,,,,,,,,,,,,,,,,,,,
Allethrin,584-79-2,Insecticide,IRAC 3,IRAC 3A,"APHIS, Pacific North West, ",1,2,,,3.4,PPDB,0.01,μg/bee,0.01,<0.1,,,Oral,Acute,,1,,,,,Apis,Apis mellifera,Apis mellifera,Behavioural,Activity,"Shorter bouts of walking behaviour, decrease of time spent wing fanning, less time spent grooming the antennae","Oliver, C. J., S. Softley, S. M. Williamson, P. C. Stevenson, and G. A. Wright. ""Pyrethroids and Nectar Toxins Have Subtle Effects on the Motor Function, Grooming and Wing Fanning Behaviour of Honeybees (Apis Mellifera)."" PLoS One 10, no. 8 (Aug 2015): e0133733.",2015, 
Alpha-endosulfan,959-98-8,Insecticide,IRAC 2,IRAC 2A,"APHIS, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,5,,,7.81,PPDB,8,ppm,,,,,Oral,Chronic,264,,,,,,Apis,Apis mellifera,Apis mellifera,Cognitive,Learning and memory,Lower level of responses,"Decourtye, A., J. Devillers, E. Genecque, K. Le Menach, H. Budzinski, S. Cluzeau, and M. H. Pham-Delegue. ""Comparative Sublethal Toxicity of Nine Pesticides on Olfactory Learning Performances of the Honeybee Apis Mellifera."" Arch Environ Contam Toxicol 48, no. 2 (Feb 2005): 242-50.",2005, 
Ametoctradin,865318-97-4,Fungicide,FRAC C,FRAC 45 (C8),"APHIS, ",1,1,111.5,PPDB,100,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Amicarbazone,129909-90-6,Herbicide,HRAC C1,HRAC C1,"APHIS, Pacific North West, ",1,2,24.4,PPDB,,,,,,,,,,,,,,,,,,,,,,,,,
Amitraz,33089-61-1,Insecticide,IRAC 19,IRAC 19,"APHIS, Pacific North West, ",1,2,,,50,PPDB,0.174,μg/larva,0.174,<1,,,Contact,Acute,,24,,,,Larvae,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,"Necrosis and apoptosis: cell death was found in 82% of midgut columnar and in 50% of regenerative epithelial cells, ","A. Gregorc and I. D. Bowen 2000 Histochemical characterization of cell death in honeybee larvae midgut after treatment with Paenibacillus larvae, Amitraz and Oxytetracycline Cell Biology International",2000, 
Amitraz,33089-61-1,Insecticide,IRAC 19,IRAC 19,"APHIS, Pacific North West, ",1,2,,,50,PPDB,400,ppm,,,,,Oral,Chronic,1848,,Carbohydrates and proteins,,,Adults,Bombus,Bombus terrestris,Bombus terrestris,Physiological,Reproduction,No drone were produced during the entire experiment (11 weeks),"Besard, L., V. Mommaerts, J. Vandeven, X. Cuvelier, G. Sterk, and G. Smagghe. ""Compatibility of Traditional and Novel Varroacides with Bumblebees (Bombus Terrestris): A First Laboratory Assessment of Toxicity and Sublethal Effects."" Pest Management Science 66, no. 7 (Jul 2010): 786-93.",2010, 
Amitraz,33089-61-1,Insecticide,IRAC 19,IRAC 19,"APHIS, Pacific North West, ",1,2,,,50,PPDB,0.25,nmol/bee,,,,,Injection,Acute,,0.5,,,,,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,Hypertrehalosemia followed by a hyperglucosemia,"Cascino, P., M. Nectoux, G. Guiraud, and M. Bounias. ""The Formamidine Amitraz as a Hyperglycemic Alpha-Agonist in Worker Honeybees (Apis Mellifera Mellifera L.) in Vivo."" Biomedical and environmental sciences : BES 2, no. 2 (1989): 106-14.",1989, 
Amitraz,33089-61-1,Insecticide,IRAC 19,IRAC 19,"APHIS, Pacific North West, ",1,2,,,50,PPDB,2,μL/bee,,,,,Contact,Acute,,24,,,,Queens,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,"Downregulation of genes related to detoxification enzymes, cAMP-dependent protein kinase, immunity, antioxidant enzymes, and development was observed.","Chaimanee, Veeranan, and Jeffery S. Pettis. ""Gene Expression, Sperm Viability, and Queen (Apis Mellifera) Loss Following Pesticide Exposure under Laboratory and Field Conditions."" Apidologie  (2019/05/08 2019).",2019, 
Amitraz,33089-61-1,Insecticide,IRAC 19,IRAC 19,"APHIS, Pacific North West, ",1,2,,,50,PPDB,46,ppm,,,,,Oral,Chronic,168,,Carbohydrates,,,Larvae,Apis,Apis mellifera,Apis mellifera,Physiological,Body development,"Decrease of development rate, increase of larval weight","Dai, Pingli, Cameron J. Jack, Ashley N. Mortensen, Tomas A. Bustamante, and James D. Ellis. 2018. “Chronic Toxicity of Amitraz, Coumaphos and Fluvalinate to Apis Mellifera L. Larvae Reared in Vitro.” Scientific Reports 8 (1): 5635.",2018, 
Amitraz,33089-61-1,Insecticide,IRAC 19,IRAC 19,"APHIS, Pacific North West, ",1,2,,,50,PPDB,283,ppm,,,,,Contact,Chronic,24,,,,,Adults,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,Decrease of glucose dehydrogenase expression- may compromise cellular immunity,"Garrido PM, Antúnez K, Martín M, Porrini MP, Zunino P, Eguaras MJ. Immune-related gene expression in nurse honey bees (Apis mellifera) exposed to synthetic Varroacides. J Insect Physiol 2013; 59: 113–9.",2013,"Tihelka, E. ""Effects of Synthetic and Organic Varroacides on Honey Bee Health: A Review."" Slovenian Veterinary Research 55, no. 3 (2018): 119-40."
Amitraz,33089-61-1,Insecticide,IRAC 19,IRAC 19,"APHIS, Pacific North West, ",1,2,,,50,PPDB,0.25,nmol/bee,,,,,Injection,Acute,,0.5,,,,,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,"Significant decreases of phospholipids, fatty acids, steroids and triacylglycerols. (Increase were observed either later or with higher doses)","M'Diaye, K., and M. Bounias. 1991. ""Sublethal effects of the formamidine amitraz on honeybees gut lipids, following in vivo injections.""  Biomedical and environmental sciences : BES 4 (4):376-383.",1991, 
Amitraz,33089-61-1,Insecticide,IRAC 19,IRAC 19,"APHIS, Pacific North West, ",1,2,,,50,PPDB,30,µM,,,,,Oral,Chronic,240,,Carbohydrates,Sugar solution,50,Adults,Apis,Apis mellifera,Apis mellifera,Physiological,Muscle activity,Increase of the heart rate ; Alteration of cardiac function (most likely through interaction with octopamine receptors),"O'Neal, S. T., C. C. Brewster, J. R. Bloomquist, and T. D. Anderson. 2017. ""Amitraz and its metabolite modulate honey bee cardiac function and tolerance to viral infection.""  Journal of Invertebrate Pathology 149:119-126. doi: 10.1016/j.jip.2017.08.005.",2017, 
Atrazine,1912-24-9,Herbicide,HRAC C1,HRAC C1,"APHIS, Calatayud-Vernich et al., 2018, Pacific North West, ",1,3,100,PPDB,100,PPDB,0.005,μg/bee,0.005,<0.01,0.00005,<0.0001,Oral,Chronic,240,,,,,,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,Lipid peroxidation and diet-derived antioxidants: decrease of βcarotene and at-ROH with increasing doses,"Helmer, S. H., A. Kerbaol, P. Aras, C. Jumarie, and M. Boily. ""Effects of Realistic Doses of Atrazine, Metolachlor, and Glyphosate on Lipid Peroxidation and Diet-Derived Antioxidants in Caged Honey Bees (Apis Mellifera)."" Environ Sci Pollut Res Int 22, no. 11 (Jun 2015): 8010-21.",2015, 
Atrazine-desethyl,6190-65-4,Herbicide,HRAC C1,HRAC C1,"APHIS, Calatayud-Vernich et al., 2018, ",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atrazine-desisopropyl,1007-28-9,Herbicide,HRAC C1,HRAC C1,"APHIS, Calatayud-Vernich et al., 2018, ",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azadirachtin,11141-17-6,Insecticide,IRAC UN*,IRAC UN*,None,0,0,,,,,30,ppm,0.024397186,<0.1,,,Oral,,,25,Carbohydrates,Sugar solution,50,Adults,Partamona and Scaptotrigona,Multiple non-Apis,"Partamona helleri, Scaptotrigona xanthotrica",Behavioural,Activity,Flight take-off impairment: reduction of individuals taking-off for flight and the number reaching the light source,"Tome, H. V. V., W. F. Barbosa, A. S. Corrêa, L. M. Gontijo, G. F. Martins, and R. N. C. Guedes. 2015. ""Reduced-risk insecticides in Neotropical stingless bee species: Impact on survival and activity.""  Annals of Applied Biology 167 (2):186-196. doi: 10.1111/aab.12217.",2015, 
Azadirachtin,11141-17-6,Insecticide,IRAC UN*,IRAC UN*,None,0,0,,,,,54,ppm,0.043914935,<0.1,,,Oral,Acute,,,Carbohydrates,Sugar solution,50,Adults,Apis,Apis mellifera,Apis mellifera,Behavioural,Feeding,Reduction of syrup consumption by worker bees,"Peng, C. Y. S., S. Trinh, J. E. Lopez, E. C. Mussen, A. Hung, and R. Chuang. ""The Effects of Azadirachtin on the Parasitic Mite, Varroa Jacobsoni and Its Host Honey Bee (Apis Mellifera)."" Journal of Apicultural Research 39, no. 3-4 (2000): 159-68.",2000, 
Azadirachtin,11141-17-6,Insecticide,IRAC UN*,IRAC UN*,None,0,0,,,,,,,,,,,Oral,Chronic,480,,,,,,Melipona,Melipona quadrifasciata,Melipona quadrifasciata,Physiological,Body development,"Deformed pupae, becoming deformed adults","Barbosa, W. F., H. V. V. Tome, R. C. Bernardes, M. A. L. Siqueira, G. Smagghe, and R. N. C. Guedes. ""Biopesticide-Induced Behavioral and Morphological Alterations in the Stingless Bee Melipona Quadrifasciata."" Environmental Toxicology and Chemistry 34, no. 9 (Sep 2015): 2149-58.",2015, 
Azadirachtin,11141-17-6,Insecticide,IRAC UN*,IRAC UN*,None,0,0,,,,,3.2,ppm,,,,,Oral,Chronic,1848,,Carbohydrates,Sugar solution,,,Bombus,Bombus terrestris,Bombus terrestris,Physiological,Reproduction,No reproduction scored-Inhibiton of the egg-laying and (consequently) the production of drones (during 6 weeks). Decrease of ovarian length (with the increase of the azadirachtin concentration),"Barbosa, W. F., L. De Meyer, R. N. C. Guedes, and G. Smagghe. ""Lethal and Sublethal Effects of Azadirachtin on the Bumblebee Bombus Terrestris (Hymenoptera: Apidae)."" Ecotoxicology 24, no. 1 (Jan 2015): 130-42.",2015, 
Azadirachtin,11141-17-6,Insecticide,IRAC UN*,IRAC UN*,None,0,0,,,,,30,ppm,,,,,Oral,Acute,1,,,,,,Partamona,Partamona helleri,Partamona helleri,Behavioural,Feeding,"Food avoidance: reduction of food consumption , and negative effect on walking activity","Bernardes, R. C., H. V. V. Tomé, W. F. Barbosa, R. N. C. Guedes, and M. A. P. Lima. ""Azadirachtin-Induced Antifeeding in Neotropical Stingless Bees."" Apidologie 48, no. 3 (2017): 275-85.",2017, 
Azinphos-ethyl,2642-71-9,Insecticide,IRAC 1,IRAC 1B,"Calatayud-Vernich et al., 2018, Poshbee H2020, ",1,2,,,1.39,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Azinphos-methyl,86-50-0,Insecticide,IRAC 1,IRAC 1B,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Poshbee H2020, Tosi et al., 2018",1,6,0.15,Ecotox,0.42,PPDB,,,,,,,Oral,Chronic,,,,,,,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,Acetylcholinesterase activity reduced (low activity); reduction of the vigour of the colonies,"Needham, P. H., and J. H. Stevenson. ""The Toxicity to Foraging Honeybees, Apis Mellifera, of Endosulfan, Malathion and Azinphos‐Methyl Applied to Flowering Oil Seed Rape, Brassica Napus."" Annals of Applied Biology 75, no. 2 (1973): 235-40.",1973, 
Azocyclotin,41083-11-8,Insecticide,IRAC 12,IRAC 12B,None,0,0,,,,,,,,,,,Oral,Chronic,,,Carbohydrates and proteins,,,Adults,Bombus,Bombus terrestris,Bombus terrestris,Physiological,Reproduction,,"Besard, L., V. Mommaerts, J. Vandeven, X. Cuvelier, G. Sterk, and G. Smagghe. ""Compatibility of Traditional and Novel Varroacides with Bumblebees (Bombus Terrestris): A First Laboratory Assessment of Toxicity and Sublethal Effects."" Pest Management Science 66, no. 7 (Jul 2010): 786-93.",2010, 
