pesticide_name,description ,new_description,other_pesticide_name,organic,reduced_risk,seed_treatment,biopesticide_biocontrol
Difenoconazole,,"Classified as a fungicide, insecticide, and for use as a seed treatment/protectant. Used for foliar and seed treatment of cereals. Broad spectrum use with fruits (grapes, pome, stone, and tropical), oil seed rape, potatoes, soybeans, sugarbeets, vegetables, barley, oats, rye, triticale, and wheat. Certain formulations are also used for the control and prevention of certain diseases in golf course turfgrasses. ",,0,0,1,0
Diflubenzuron,"Insecticide used to control many leaf eating larvae of insects feeding on agricultural, forest, and ornamental plants (e.g. gypsy moths, mosquito larvae, rust mites). Diflubenzuron is used primarily on cattle, citrus, cotton, mushrooms, ornamentals, standing water, forestry trees, and in programs to control mosquito larvae and gypsy moth populations. (EPA) Insecticide used in controlling insect pests in forests and on field crops. It inhibits the production of chitin used by an insect to build its exoskeleton.","Considered to be an insect growth regulator and larvicide. For use against leaf-feeding insects in forestry, woody ornamentals, rangeland, and fruits. Certain major pests of citrus, cotton, rice, soybeans, and other vegetables. Certain formulations are used to control the breeding of flies in cattle manure. Listed for use as a biopesticide/biocontrol. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,1,0,1
Dimoxystrobin,,A fungicide commonly used on sunflowers and winter wheat. ,,0,0,0,0
Dinotefuran,,"A neonicotinoid insecticide for use on brassica, cotton, cucurbits, fruiting and leafy vegetables, grapes, potatoes, rice, turf, and ornamentals. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,1,0,0
Diuron,,"An herbicide and plant growth regulator. A substituted urea compound used preemergence to control emerging and young broadleaf and grass seeds as well as mosses. Also for use on alfalfa, asparagus, citrus, cotton, orchards, sugarcane, wheat, and vineyards. ",,0,0,0,0
Fenamidone,,"A fungicide used for oomycete diseases such as grape and vegetable downy mildew, tomato and potato late blight and Pythium. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment.  ",,0,1,0,0
Fenbuconazole,"Systemic fungicide intended for use as an agricultural and horticultural fungicide spray for the control of leaf spot, yellow and brown rust, powdery mildew, and net blotch on wheat, barley, and apple scab, pear scab, and apple powdery mildew on apples and pears. Residues are also found on cherries, apricots, plums, peaches, grapes, oranges, grapefruits, and numerous vegetables.","A fungicide with protective, curative, and eradicant properties against a wide range of fungal diseases that attack blossom, foliage, fruit, and seed portions of many food and ornamental crops. Effective against deuteromycetes, ascomycetes, and basidiomycetes. ",,0,0,0,0
Fenhexamid,,"A fungicide used for control on bushberries, caneberries, grapes, pistachios, strawberries, and ornamentals. Suppression of powdery mildew of grapes. Control of Monilinia on almonds and stone fruits. Also for control of gray mold, fruit rot, and brown rot on fruits; bunch rot on grapevines. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,1,0,0
Fenpyroximate,Acaricide (insecticide targeting mites) used to control varroa mites.,"An acaricide (insecticide targeting mites). Controls Asian citrus psyllid, leafhoppers, mealybugs, mites, pear psylla, potato/tomato psylla on berries, citrus, grapes, hops, mint, nonbearing fruit and nut treas and vies, pome and stone fruits, tree nuts, avocado, corn, cotton, cucumber, melons, and snap beans. Can be used to control varroa mites. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,1,0,0
Fipronil,,"An insecticide with pheromone/attractant and seed treatment/protectant properties. For use in corn and potatoes. Seed treatment for use on field corn seed, cotton, dry beans, rice, soybeans, and wheat. Is also used by orchards as a fruit fly station in non-crop vegetation. ",,0,0,1,0
Fluazifop,,"A selective postemergence grass herbicide to control most annual and perennial grass weeds in asparagus, carrots, cotton, dry bulb onions, soybeans, spinach, sweet potatoes, and ornamentals. ",,0,0,0,0
Fluazinam,,"A fungicide with acaricide properties on citrus red mites and two-spotted spider mites. As a fungicide is used to control for Alternaria, Botrytis, Phytophthora, Plasmopara, Sclerotinia, Venturia, and other pathogens. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,1,0,0
Fludioxonil,"A fungicide used to control fungal disease, making it a useful seed treatment as well as a post-harvest treatment for fruit such as apples, bilberries, blackberries, blackcurrants, blueberries, broad beans, combining peas, crab apples, cranberries, dwarf french beans, edible podded peas, forest nursery, gooseberries, ornamental plant production, pears, quinces, raspberries, redcurrants, runner beans, strawberries, vining
peas, and whitecurrants (http://www.agchemaccess.com/Fludioxonil).","A multi-purpose pesticide, considered to be a fungicide, but is also used as an insecticide and for seed treatment purposes. For use on cereals, corn, cotton, oil seed rape, peanuts, peas, potatoes, maize, rice, soybeans, vegetables, grapes, turf, ornamental crops, brassica, bulb vegetables, cucurbits, safflower, sunflower, barley, oats, rye, triticale, and wheat. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,1,1,0
Flufenacet,,Herbicide effective on several annual grasses and some small-seed broadleaf weeds. Also commonly used on corn. ,,0,0,0,0
Flumioxazin,,"Herbicide for use on corn, cotton, almonds, fallow land, grapes, mint, onions, peanuts, potatoes, soybeans, sweet potatoes, and woody ornamentals. Also used for weed in bayous, canals, drainage ditches, fresh water ponds, lakes, marshes, and resevoirs. ",,0,0,0,0
Fluometuron,,Herbicide most commonly used on cotton plants. ,,0,0,0,0
Fluopicolide,,"Used for control of downy mildew, late blight, and Pythium, vegetables, grapes, ornamentals, and turf. ",,0,0,0,0
Fluopyram,,"A broad-spectrum fungicide with preventative, systemic, and curative properties for control or suppression of certain diseases. Certain formulations are used on almonds, pecans, pistachios, tree nuts, watermelon, wine grapes, apples, cherries, peanuts, potatoes, strawberries, sugarbeets, and tree nuts. ",,0,0,0,0
Fluoxastrobin,,"A fungicide used on corn, peanuts potatoes, soybeans, turf, wheat, tuber, fruiting and leafy vegetables, bulb onions, spring and winter wheat, triticale, and winter rye. ",,0,0,0,0
Flupyradifurone,,"Newer pesticide. Has the potential to control a broad spectrum of sucking pests in fruit, vegetables, and broad acre crops. ",,0,0,0,0
Fluxapyroxad,,"New fungicide technology also known as a seed treatment/protectant. For use on cotton, soybeans, barley, oats, rye, wheat, pome and stone fruits, beans, corn of all types, fruiting and legume vegetables, oilseed crops, peanuts, peas, sugar beets, and potatoes. ",,0,0,1,0
Fumagillin,,"In nature, fumagillin is mycotoxin produced by the fungus Aspergillus fumigatus. It is an opportunistic pathogen known to cause aspergillosis infections, which can lead to death. Its microsporicial activity may be used to to treat Nosema spp. Infected honeybee hives. Source: 10.3390/toxins12010007",,0,0,0,0
Hexaflumuron,,"Insecticide for use against Diptera, Lepidoptera, Homoptera larvae on fruit, cotton, and potatoes. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,1,0,0
Imidacloprid,"The most widely used insecticide in the world to control beetles, fleas, aphids, stink bugs, termites, locusts, thrips, carpenter ants, and cockroaches. It is one of the most toxic insecticides to honey bees (Suchail, S?verine; Guez, David; Belzunces, Luc P. (November 2011)).
""Discrepancy between acute and chronic toxicity induced by imidacloprid and its metabolites in Apis mellifera"". Environmental Toxicology and Chemistry 20: 2482-2486.)","A neonicotinoid insecticide considered to be the most widely used insecticide in the world for control of aphids, Colorado potato beetle, rice hoppers, thrips whiteflies, and turf and soil insects in cereal, corn, cotton, sorghum, fruit, maize, potatoes, rice, soybeans, sugarbeets, turf, and vegetables. It is one of the most toxic insecticides to honey bees (Suchail, S?verine; Guez, David; Belzunces, Luc P. (November 2011). Some formulations are used for seed treatment on soybeans, potatoes, and delinted cotton. ",,0,0,1,0
Indoxacarb,,"Insecticide used for control of Lepidoptera and certain other pests in field crops, vegetables, fruit, turfgrass, and ornamentals. Considered to be toxic to mammals, birds, fish, aquatic invertebrates, and pollintors, however the U.S. EPA has classified some uses as a reduced risk to human health and the environment. Source: https://www3.epa.gov/pesticides/chem_search/reg_actions/registration/fs_PC-067710_30-Oct-10.pdf",,0,1,0,0
Malaoxon,,"An organophosphate breakdown product of the insecticide malathion. A cholinesterase inhibitor considered to be 1,000x more active than malathion. Source: https://pubchem.ncbi.nlm.nih.gov/compound/Malaoxon",,0,0,0,0
Mandipropamid,,"Fungicide for use on brassica, bulb, cucurbits, leafy vegetables peppers, grapes, hope, potatoes, tomatoes, and ornamentals. TThe U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,1,0,0
Metalaxyl,"A fungicide used in mixtures as a foliar spray for tropical and subtropical crops, as a soil treatment for control of soil-borne pathogens, and as a seed treatment to control downy mildews. Its average half-life in soil is about 70 days. At pH's of 5 to 9 and temperatures of 20 to 30
degrees C, the half- life in water was greater than four weeks. Metalaxyl is non-toxic to honeybees.","A fungicide used in mixtures as a foliar spray for tropical and subtropical crops, as a soil treatment for control of soil-borne pathogens such as Phytophthora and Pythium. Also used as a seed treatment to control downy mildew and late blight. Its average half-life in soil is about 70 days. At pH's of 5 to 9 and temperatures of 20 to 30 degrees C, the half- life in water was greater than four weeks. Metalaxyl is non-toxic to honeybees. Seed treatment use in corn, soybeans, and canola. ",,0,0,1,0
Metazachlor,,"An herbicide for preemergence, early postemergence control of annual grasses, broadleaf weeds, and yellow nutgrass suppression in potatoes, oilseed/rape, soybeans, tobacco, transplanted, cabbage, leaks, celery, chives, sugarcane, and turnip. ",,0,0,0,0
Metconazole,,"A fungicide, also known for its seed treatment/protectant qualities. Used on cereal crops, corn, winter oilseed/ rape, canola, peanuts, stone fruits, tree nuts, sugarbeets, turf, and ornamentals. Also used for control of Sigatoka on bananas. ",,0,0,1,0
Methiocarb,,Insecticide which is considered as a molluscicide for the control of slugs and snails on ornamentals. Also used as a bird repellant when used as a seed treatment. ,,0,0,0,0
Methoprotryne,,"A post-emergence herbicide used for the control of weeds in winter-sown cereals. Is not used in the USA, however is used in Europe. Source: https://pubchem.ncbi.nlm.nih.gov/compound/Methoprotryne#section=Ecological-Information",,0,0,0,0
Methoxyfenozide,Insecticide used to target lepidopterous insects (moths) causing premature molting. Not believed to be toxic to honey bees.,"Insecticide used to target lepidopterous insects (moths) causing premature molting. Not believed to be toxic to honey bees. For use in row crops, tree fruits, tree nuts, vegetables, vines, apples, grapes, cotton, peanuts, soybeans, and pistachios. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,1,0,1
Metobromuron,,"Herbicide for preemergence use on annual grass and broadleaf control in beans, flax, potatoes, soybeans, sunflower, tomatoes, and transplanted crops such as tobacco. ",,0,0,0,0
Metolachlor,"Applied to soil to control weeds in corn, soybeans, peanuts, grain sorghum, potatoes, pod crops, cotton, safflower, stone fruits, nut trees, highway right-of-ways, and woody ornamental fields. Rapid degradation in sunny soil.
(http://pmep.cce.cornell.edu/profiles/extoxnet/metiram-propoxur/metolachlor-ext.html).","Herbicide for preemergence and pre-plant weed control in corn, cotton, grain sorghum, peanuts, pod crops, potatoes, safflower, soybeans, and woody ornamentals. ",,0,0,0,0
Mevinphos,,"An organophosphate insecticide also regarded as an effective acaricide/miticide. Controls aphids, caterpillars, cutworms, grasshoppers, leafhoppers, mites, and many other insects on a wide range of field, forage, vegetable, and fruit crops. ",,0,0,0,0
Myclobutanil,"A fungicide registered for use on a wide range of food crops. It is used heavily to control fungi affecting wine and table grapes, especially in California. California accounts for roughyl 50% or all myclobutanil use in the US. 60% of myclobutanil use in CA is applied to grapes. It also has
a number of other food crop and commercial or residential landscaping applications. Found to be non-toxic to honey bees.(http://toxipedia.org/display/toxipedia/Myclobutanil).","A fungicide registered for use on a wide range of food crops. Effective against Ascomycetes, Basidiomycetes, and Deuteromycetes on tree fruit and vines.  It is used heavily to control fungi affecting wine and table grapes, especially in California. California accounts for roughly 50% of all myclobutanil use in the US. 60% of myclobutanil used in CA is applied to grapes. It also has a number of other food crops and commercial or residential landscaping applications. Found to be non-toxic to honey bees.",,0,0,1,0
Napropamide,,"Herbicide is used as a preemergence, soil-applied herbicide to control broadleaf weeds and grasses in orchards, vineyards, direct-seeded tomatoes, peppers, strawberries, tobacco, ornamentals, etc. ",,0,0,0,0
Oxytetracycline,,An organic antibiotic/bactericide and fungicide used for bacterial spots on peaches and nectarines as well as fire blight on apples and pears. ,,1,0,0,1
Penthiopyrad,,"A fungicide for use on cereals, fruits, vegetables, alfalfa, low-growing berries, pome and stone fruit, tree nuts, peanuts cucurbits, potatoes, canola, cereals, corn, legumes, sorghum, soybeans, sunflower, sugarbeets, and turf. ",,0,0,0,0
Phenmedipham,,A foliar-applied selective herbicide to control weeds in red beets and spinach (grown for seed and processing). ,,0,0,0,0
Phosmet,"Insecticide mainly used on apple trees for the control of codling moth. However, it is used on other fruit crops and ornamentals and vines for aphids, suckers, mites and fruit flies control.","Organophosphate insecticide used on alfalfa, almonds, apples, apricots, blueberries, cherries, citrus, corn, cotton, cranberries, grapes, kiwi, nectarines, peaches, pears, peas, pecans, pistachios, plums, potatoes, prunes, sweet potatoes, walnuts, certain deciduous shade and ornamental trees, woody evergreens, and Christmas trees. Uses are most common to control a wide range of insects such as alfalfa weevil, boll weevil, codling moth, grape berry moth, leafrollers, Oriental fruit moth, plum curculio, twig borers, and many others. ",,0,0,0,0
Picoxystrobin,,"Fungicide used to control diseases in barley, oats, rye, wheat, peanuts, soybeans, dry legumes, cereals, corn, peas, and canola. ",,0,0,0,0
Piperonyl butoxide,,"An insecticide synergist, that when combined with pyrethrins, allethrin, permethrin, tetramethrin, rotenone, and others become more effective at killing insect pests. ",,0,0,0,0
Profenophos,,An organophosphate insecticide commonly used as an acaricide/miticide for use against mites. ,Profenofos,0,0,0,0
Prometon,,"A triazine herbicide applied both preemergence and postemergence as a temporary total vegetation herbicide. Has considerable foliar action and also works through plant roots. Controls most annual, many perennial broadleaf weeds and grasses, generally for a full season or longer. ",,0,0,0,0
Prometryn,,"Herbicide for use on most annual grasses, broadleaf weed in cotton, and celery.",,0,0,0,0
Propazine,Herbacide found to be non-toxic to honey bees. Applied to boradleaf weeds and annual grasses in sweet sorghum in the form of a spray or powder (http://pmep.cce.cornell.edu/profiles/extoxnet/metiram-propoxur/propazine-ext.html).,Herbacide found to be non-toxic to honey bees. Applied to boradleaf weeds and annual grasses in sweet sorghum in the form of a spray or powder (http://pmep.cce.cornell.edu/profiles/extoxnet/metiram-propoxur/propazine-ext.html).,,0,0,0,0
Propiconazole,,"Fungicide for use on barley, bananas, canola, corn, oats, peanuts, pecans, rice, soybeans, stone fruit, sugarbeets, wheat, triticale, grasses grown from seed, turf, and ornamentals. ",,0,0,0,0
Pyraclostrobin,"Controls foliar fungal diseases. Residues are found on a variety of fruits including melons, apples, brassicaea family, sunflowers, beans, peppers, lettuces, kale, and cucumbers.","Controls foliar fungal diseases. Fungicide with uses as a plant health product and seed treatment/protectant. For use on corn, soybeans, citrus, peas, peanuts, potatoes, small fruits, cucurbits, fruiting vegetables, onions, garlic, leeks, onions, pistachios, root vegetables, berries, tree nuts, rye, wheat, oats, and triticale. For seed treatment use of soybeans. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,0,0,0
Pyrimethanil,"Scala Brand SC Fungicide for foliar use to control certain diseases on almonds, pistachios, bulb, tuberous, corn vegetables, grapes, stone fruits
(except cherries), pome fruits, potatoes, strawberries, and tomatoes (http://pmep.cce.cornell.edu/profiles/fung-nemat/febuconazole- sulfur/pyrimethanil/pyrimethanil_let_405.html).","A fungicide used to control gray mold on fruit, ornamentals, vegetables, vines; leaf scab on pome fruit; post-harvest on citrus and pome fruit. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,1,0,0
Pyriproxyfen,,"An insect growth regulator for use against whiteflies, thrips, and public health insects (mosquitoes, fleas, ticks, etc.). Pyriproxyfen is typically applied to breeding sites. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. Indicated for use as a biopesticide/biocontrol. ",,0,1,0,1
Spinetoram,,"Insecticide used for control of codling moth in pome fruit and tree nuts, as well as control of leafminers in vegetables. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,1,0,0
Spinosad,,"Organic insecticide and seed treatment/protectant. The fermentation-derived insecticide is used to control Lepidoptera, Diptera, Thysanoptera, and some Coleoptera. Crops that Spinosad is commonly applied to include apples, citrus, cole crops, stone fruit, tree nuts, fruiting and leafy vegetables, almonds, turf, and ornamentals. Also used as bait for fire ants and fruit flies. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. Indicated for use as a biopesticide/biocontrol. ",,1,1,1,1
Spirotetramat,,"Insecticide for use on citrus, grapes, hops, pome/stone fruits, tree nuts, Christmas trees, and vegetables. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,1,0,0
Sulfentrazone,,"An herbicide used for control of broadleaf weeds and grasses in soybeans (postharvest burndown), ornamentals, tobacco, and turfgrass. Commonly used on turf in residential, commercial, athletic spaces as well as along roadsides, highways, railways, fence rows, and non-crop sites. ",,0,0,0,0
Sulfoxaflor,,"Insecticide for use on certain citrus, small fruit, pome/stone fruit, tree nuts, root and tuber vegetables, barley, canola, cotton, potatoes, soybeans, triticale, and wheat. ",,0,0,0,0
Tebuconazole,A powder used to treat pathogenic and foliar plant fungi on food and feed crops.,"A fungicide used to treat pathogenic and foliar plant fungi on plants in food and feed crops including barley, oats, wheat, oilseed rape, peanuts, grapes, pome and stone fruits, nuts, turf, and ornamentals. Is also used as a seed treatment/protectant. ",,0,0,1,0
Tebufenozide,"Molt-inducing pesticide used on cabbage, cauliflower, beet, soybean, cotton, mealie, tea, tobacco, and fruit trees. Found to be not acutely toxic to honey bees (http://www.pesticideinfo.org/Detail_Chemical.jsp?Rec_Id=PC36018)."," Molt-inducing pesticide/insect growth regulator used on cabbage, cauliflower, beet, soybean, cotton, mealie, tea, tobacco, and fruit trees. Also used for control of lepidopterous larvae. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. Indicated for use as a biopesticide/biocontrol. ",,0,1,0,1
Tebuthiuron,"Herbicide used to control weeds in non-cropland areas, rangelands, rights-of-way, and industrial sites. Weeds that are controlled by tebuthiuron include alfalfa, bluegrasses, chickweed, clover, dock, goldenrod, mullein, etc. If used correctly, it should not pose a threat to bees
(http://pmep.cce.cornell.edu/profiles/extoxnet/pyrethrins-ziram/tebuthiuron-ext.html).","A soil-applied herbicide used to control weeds in non-cropland areas, rangelands, and industrial sites. Used on alfalfa, bluegrasses, chickweed, clover, goldenrod, and mullein. ",,0,0,0,0
Terbutryn,,"Used as a preemergence and prelant herbicide on grain sorghum, and fallow land. ",,0,0,0,0
Tetraconazole,,"Foliar fungicide spray for use on blueberries, cereals, grapes, ornamentals, peanuts, pome fruits, sugarbeets, soybeans, vegetables, and low bush berries. ",,0,0,0,0
Tetramethrin,,A synthetic pyrethroid insecticide used for the control of flying insects and garden pests. Promising for control of pests on stored products. ,,0,0,0,0
Thiabendazole,"Fungicide used to control mold, rot, blight, and stain on fruits and vegetables. It is found to be non-toxic to honey bees.","Fungicide used to control green mold, blue mold, stem end rot of citrus; Fusarium basal rot and Penicillium blue mold on ornamental bulbs and corms; crown rot on bananas; blue rot mold, bull's eye rot and gray mold on apples and pears; black rot, scurf, and foot rot of sweet potatoes; Fusarium dry rot in potato storage. May also be used as a seed treatment or for stem injection applications. ",,0,0,0,0
Thiacloprid,Neonicotinoid insecticide that is mainly for chewing insects.,"A neonicotinoid insecticide/aphidicide that is mainly used for control of chewing insects, aphids, codling moth, leafhoppers, leafminers, psylla, and whiteflies in potatoes, oilseed rape, pome fruit, vegetables, and ornamentals. ",,0,0,0,0
