Bifenthrin,"Insecticide used mainly against red fire ants, but also used to control aphids, worms, ants, gnats, moths, beetles, grasshoppers, mites, midges, spiders, ticks, yellow jackets, maggots, thrips, caterpillars, flies, and fleas. It is mostly used on orchards, nurseries, and homes. Also seen in large amounts on corn. It is highly toxic to aquatic organisms and has one of the longest known residual times in soil on the market. ""In bees, the lethal concentration (LC50) of bifenthrin is about 17 mg/L. At sub lethal concentrations, bifenthrin reduces the fecundity of bees, decreases the rate at which bees develop into adulthood, and increases their immature periods. Dai, Ping-Li; Wang, Qiang; Sun, Ji-Hu; Liu, Feng; Wang, Xing; Wu, Yan-Yan; Zhou, Ting (2010). ""Effects of sub lethal concentrations of bifenthrin and deltamethrin on fecundity, growth,
and development of the honeybeeApis mellifera logistical"". Environmental Toxicology and Chemistry 29 (3): 644–9."" A Pyrethroid insecticide.",Insecticide
Chlorpyrifos,"Insecticide effective in controlling cutworms, corn rootworms, cockroaches, grubs, flea beetles, flies, termites, fire ants, and lice. Mainly used as an insecticide on grain, cotton, field, fruit, nut and vegetable crops, and well as on lawns and ornamental plants. ""Aquatic and general
agricultural uses of chlorpyrifos pose a serious hazard to wildlife and honeybees"" (Kidd, H. and James, D. R., Eds. The Agrochemicals Handbook, Third Edition. Royal Society of Chemistry Information Services, Cambridge, UK, 1991, 5-14)",Insecticide
Coumaphos,"A widely used insecticide found to be moderately toxic to bees. It is used to control livestock insects such as cattle grubs, screw worms, lice, scabies, flies, and ticks. Coumaphos is an organophosphate which affects the activity of naturally occuring enzymes called cholinesterases in
humans and insects that are essential for the proper functioning of the nervous system (http://pmep.cce.cornell.edu/profiles/extoxnet/carbaryl-dicrotophos/coumaphos-ext.html).",Insecticide
Coumaphos oxon,Coumaphos degraded to its first coroxon (a metabolite of Coumaphos).,Insecticide
Cyfluthrin,"Insecticide used to control cutworms, ants, silverfish, cockroaches, termites, grain beetles, weevils, mosquitoes, fleas, flies, corn earworms, tobacco budworm, codling moth, European corn borer, cabbageworm, loopers, armyworms, boll weevil, alfalfa weevil, Colorado potato beetle, and many others. Its primary agricultural uses have been for control of chewing and sucking insects on crops such as cotton, turf, ornamentals, hops, cereal, corn, deciduous fruit, peanuts, potatoes, and other vegetables. Cyfluthrin is also used in public health situations and for structural pest control. Cyfluthrin is the active ingredient in many insecticide products including Baythroid, Baythroid H, Attatox, Contur, Laser, Responsar, Solfac, Tempo and Tempo H. Cyfluthrin is highly toxic to bees with an LD50 of 0.037 mg/bee.  A Synthetic pyrethroid
derivative that is used as an insecticide and a common household pesticide.",Insecticide
Cyhalothrin total,Synthetic pyrethroid.,Insecticide
Cypermethrin,Cypermethrin is a synthetic pyrethroid used as an insecticide in large-scale commercial agricultural applications as well as in consumer products for domestic purposes. Lasts 2-8 weeks in the soil and is unlikely to contaminate groundwater.,Insecticide
Diazinon,"In 1994, the EPA phased out the residential use of Diazinon and in 1988, cancelled the registration for use on golf courses and sod farms. It is currently used on rice, fruit trees, sugarcane, corn, tobacco, potatoes, and other horticultural plants
(http://pmep.cce.cornell.edu/profiles/extoxnet/carbaryl-dicrotophos/diazinon-ext.html).",Insecticide
Dichlorvos,"An organophosphate insecticide used to control mushroom flies, aphids, spider mites, caterpillars, thrips, and white flies in fruit and vegetble crops. It is also fed to livestock to control botfuly larvae in manure as well as parasitic worm infections in humans, livestock, and dogs. Many plants tolerate the pesticide very well, but it is toxic to bees (http://pmep.cce.cornell.edu/profiles/extoxnet/carbaryl-dicrotophos/dichlorvos- ext.html).",Insecticide
Dicofol,"A miticide used on  fruit, vegetable, ornamental and field crops. It is found to be non-toxic to honey bees (http://pmep.cce.cornell.edu/profiles/extoxnet/carbaryl-dicrotophos/dicofol-ext.html)",Insecticide
Dieldrin,"Banned insecticide as of 1987 and no longer produced in the US. It is used to control insects on cotton, corn, and citrus crops. Also used to control locusts and mosquitoes as a wood preserve, and for termite control. (EPA)",Insecticide
Diflubenzuron,"Insecticide used to control many leaf eating larvae of insects feeding on agricultural, forest, and ornamental plants (e.g. gypsy moths, mosquito larvae, rust mites). Diflubenzuron is used primarily on cattle, citrus, cotton, mushrooms, ornamentals, standing water, forestry trees, and in programs to control mosquito larvae and gypsy moth populations. (EPA) Insecticide used in controlling insect pests in forests and on field crops. It  inhibits the production of chitin used by an insect to build its exoskeleton.",Insecticide
Pesticide,Description,Type
Endosulfan I,"Controversial insecticide that is globally being phased out by mid 2012. Endosulfan has been used in agriculture around the world to control insect pests including whiteflys, aphids, leafhoppers, Colorado potato beetles, and cabbage worms. However, it can negatively effect populations of beneficial insects and is moderately toxic to honey bees (Oregon State University). It is an endocrine disruptor and is acutely neurotoxic to both insects and mammals.",Insecticide
Endosulfan II,Endosulfan metabolite,Insecticide
Endosulfan sulfate,Endosulfan metabolite,Insecticide
Esfenvalerate,"Insecticide used on a wide range of pests such as moths, flies, beetles, and other insects. It is used on vegetable crops, tree fruits, and nut crops. ""Esfenvalerate is also highly toxic to bees. The compound tends to repel bees for a day or two after application, causing bee visitations to drop during that time . Since most intoxicated bees die in the field before they can return to contaminate the hive, the brood is not
exposed except by direct spray. Dried spray residues are not expected to pose a significant threat to bees"" (Asana XL Technical Bulletin. (no date). Du Pont Chemical Corp). Synthetic pyrethroid insecticide.",Insecticide
Fenpropathrin,Insecticide used in agriculture and on ornamentals. Used to control mites in fruits and vegetables.,Insecticide
Fenpyroximate,Acaricide (insecticide targeting mites) used to control varroa mites.,Insecticide
Flonicamid,"Insecticide used to control hemipterous, or sucking insects such as aphids and whiteflies on fruit, cereal, and root/tuber crops, by inhibiting feeding behavior. No honey bee toxity infromation is currently available for this insecticide
(http://www.efsa.europa.eu/en/efsajournal/doc/1445.pdf).",Insecticide
Fluvalinate,Insecticide mainly used to treat honey bees for Varroa mites.,Insecticide
Imidacloprid,"The most widely used insecticide in the world to control beetles, fleas, aphids, stink bugs, termites, locusts, thrips, carpenter ants, and cockroaches. It is one of the most toxic insecticides to honey bees (Suchail, Séverine; Guez, David; Belzunces, Luc P. (November 2011)).
""Discrepancy between acute and chronic toxicity induced by imidacloprid and its metabolites in Apis mellifera"". Environmental Toxicology and Chemistry 20: 2482-2486.)",Insecticide
Methoxyfenozide,Insecticide used to target lepidopterous insects (moths) causing premature molting. Not believed to be toxic to honey bees.,Insecticide
Methamidophos,"A highly active, systemic, residual organophosphate insecticide. It is used on crops such as broccoli, brussel sprouts, cauliflower, grapes, celery, sugar beets, cotton, tobacco, and potatoes to protect them against aphids, flea beetles, worms, whiteflies, thrips, cabbage loopers, Colorado potato beetles, potato tubeworms, armyworms, mites,  and leafhoppers. Toxic to honey bees as one study found it greatly reduces the foraging activity of bees for a prolonged period of time after application (Gary, N.E. and K. Lorenzen. 1989. Effect of Methamidophos on
Honey Bees (Hymenoptera: Apidae) During Alfalfa Pollination. J. Econ. Entomol. 82(4): 1067-1072.)",Insecticide
Methomyl,Broad spectrum insecticide used to control spiders and ticks  as well as applications to agricultural crops. It is cosidered highly toxic to honey bees through direct contact and ingestion (http://pmep.cce.cornell.edu/profiles/extoxnet/haloxyfop-methylparathion/methomyl-ext.html).,Inseticide
Paradichlorobenzene,"A fumigant insecticide used to control moths and moth larvae. In 2010, 30 known products on the market contained paradichlorobenzene
according to the EPA. Hives can be fumigated with this chemical to starve off wax moth infestation (http://npic.orst.edu/factsheets/PDBgen.pdf).",Insecticide
Permethrin total,"The majority of permethrin, over 70%, is used in non-agricultural settings. It is used on many food and feed crops. A pyrethroid.",Insecticide
Phosmet,"Insecticide mainly used on apple trees for the control of codling moth. However, it is used on other fruit crops and ornamentals and vines for aphids, suckers, mites and fruit flies control.",Insecticide
Pesticide,Description,Type
Pyridaben,"An insecticide applied to fruit and nut crops such as apples, pears, and almonds. Per package instructions, the insecticide should not to be sprayed when honey bees are in close proximity to a treatment area as it is toxic to honey bees (http://pmep.cce.cornell.edu/profiles/insect- mite/mevinphos-propargite/pyridaben/pyramite_mcl_0398.pdf).",Insecticide
Tebufenozide,"Molt-inducing pesticide used on cabbage, cauliflower, beet, soybean, cotton, mealie, tea, tobacco, and fruit trees. Found to be not acutely toxic to honey bees (http://www.pesticideinfo.org/Detail_Chemical.jsp?Rec_Id=PC36018).",Insecticide
Thiacloprid,Neonicotinoid insecticide that is mainly for chewing insects.,Insecticide
Thymol,"Used as an antifungal or anti fermentation agent in producing sugar syrup  and as an aromatic material for use against the Varroa mite in special evaporator frames. Essential oil, active ingredient in Apiguard.",Insecticide
Thiamethoxam,"Insecticide classified as a neonicatoid. Used to deter insect feeding from  aphids, thrips, beetles, centipedes, millipedes, sawflies, leaf miners, stem borers, and termites.",Insecticide
