Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,Y-Intercept,R(superscript 2),Slope,Efficiency,Amp Score,Cq Conf,Tm1
61,F1,FALSE,10^6,DWV,STANDARD,SYBR,None,22.899,22.724,0.21,"1,000,000.00",TRUE,0.087,TRUE,1,40,,1.255,0.994,3.57,-47.534,1.312,0.981,80.403
62,F2,FALSE,10^6,DWV,STANDARD,SYBR,None,22.397,22.724,0.21,"1,000,000.00",TRUE,0.087,TRUE,1,40,,1.255,0.994,3.57,-47.534,1.314,0.987,80.603
63,F3,FALSE,10^6,DWV,STANDARD,SYBR,None,22.704,22.724,0.21,"1,000,000.00",TRUE,0.087,TRUE,1,40,,1.255,0.994,3.57,-47.534,1.323,0.986,80.503
64,F4,FALSE,10^6,DWV,STANDARD,SYBR,None,22.919,22.724,0.21,"1,000,000.00",TRUE,0.087,TRUE,1,40,,1.255,0.994,3.57,-47.534,1.31,0.984,80.702
65,F5,FALSE,10^6,DWV,STANDARD,SYBR,None,22.701,22.724,0.21,"1,000,000.00",TRUE,0.087,TRUE,1,40,,1.255,0.994,3.57,-47.534,1.3,0.981,80.702
73,G1,FALSE,10^7,DWV,STANDARD,SYBR,None,26.796,26.535,0.264,"10,000,000.00",TRUE,0.087,TRUE,1,40,,1.255,0.994,3.57,-47.534,1.298,0.987,80.403
74,G2,FALSE,10^7,DWV,STANDARD,SYBR,None,26.742,26.535,0.264,"10,000,000.00",TRUE,0.087,TRUE,1,40,,1.255,0.994,3.57,-47.534,1.31,0.983,80.403
75,G3,FALSE,10^7,DWV,STANDARD,SYBR,None,26.546,26.535,0.264,"10,000,000.00",TRUE,0.087,TRUE,1,40,,1.255,0.994,3.57,-47.534,1.325,0.985,80.403
76,G4,FALSE,10^7,DWV,STANDARD,SYBR,None,26.457,26.535,0.264,"10,000,000.00",TRUE,0.087,TRUE,1,40,,1.255,0.994,3.57,-47.534,1.315,0.981,80.603
77,G5,FALSE,10^7,DWV,STANDARD,SYBR,None,26.133,26.535,0.264,"10,000,000.00",TRUE,0.087,TRUE,1,40,,1.255,0.994,3.57,-47.534,1.326,0.984,80.603
85,H1,FALSE,10^8,DWV,STANDARD,SYBR,None,29.891,29.306,1.778,"100,000,000.00",TRUE,0.087,TRUE,1,40,,1.255,0.994,3.57,-47.534,1.313,0.973,80.204
86,H2,FALSE,10^8,DWV,STANDARD,SYBR,None,30.396,29.306,1.778,"100,000,000.00",TRUE,0.087,TRUE,1,40,,1.255,0.994,3.57,-47.534,1.307,0.968,80.503
87,H3,FALSE,10^8,DWV,STANDARD,SYBR,None,29.984,29.306,1.778,"100,000,000.00",TRUE,0.087,TRUE,1,40,,1.255,0.994,3.57,-47.534,1.329,0.984,80.204
88,H4,FALSE,10^8,DWV,STANDARD,SYBR,None,30.114,29.306,1.778,"100,000,000.00",TRUE,0.087,TRUE,1,40,,1.255,0.994,3.57,-47.534,1.314,0.959,80.403
89,H5,FALSE,10^8,DWV,STANDARD,SYBR,None,26.143,29.306,1.778,"100,000,000.00",TRUE,0.087,TRUE,1,40,,1.255,0.994,3.57,-47.534,1.293,0.975,80.303
