# Experiment File Name : Alger-SA-18138.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2023-05-08 09:38:35 AM
# Instrument Type : QuantStudio 6 Real-Time PCR System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"D7","139","ACTIN","1.563","Amp","UNKNOWN","16.128","16.161","0.047","442129.94","432949.7","12982.849","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"D8","181","ACTIN","1.563","Amp","UNKNOWN","16.654","16.629","0.035","315100.06","320226.16","7249.386","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"D9","147","ACTIN","1.56","Amp","UNKNOWN","16.389","16.4","0.016","373805.7","371112.62","3808.596","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"D10","138","ACTIN","1.565","Amp","UNKNOWN","16.092","16.129","0.053","452616.97","441958.88","15072.822","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"D11","149","ACTIN","1.556","Amp","UNKNOWN","16.151","16.146","0.008","435618.47","437202.12","2239.654","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"D12","NTC","ACTIN","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","39.0","false",
"E1","90","DWV","1.455","Amp","UNKNOWN","15.477","16.813","1.889","426725.0","251435.56","247896.72","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","11.0","false",
"E2","174","DWV","1.311","Amp","UNKNOWN","23.126","22.854","0.385","3071.8638","3717.262","912.732","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","18.0","false",
"E3","101","DWV","1.433","Amp","UNKNOWN","27.165","27.062","0.145","227.02385","243.093","22.726","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","22.0","false",
"E4","107","DWV","1.457","Amp","UNKNOWN","17.820","17.884","0.091","94109.01","90379.91","5273.752","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","13.0","false",
"E5","151","DWV","1.46","Amp","UNKNOWN","16.900","16.899","0.001","170336.14","170436.05","141.294","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","12.0","false",
"E6","128","DWV","1.451","Amp","UNKNOWN","22.748","22.755","0.01","3920.6536","3903.261","24.596","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","18.0","false",
"E7","161","DWV","1.452","Amp","UNKNOWN","17.993","17.956","0.052","84189.75","86232.46","2888.828","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","13.0","false",
"E8","86","DWV","1.459","Amp","UNKNOWN","23.814","23.786","0.039","1971.228","2007.324","51.047","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","19.0","false",
"E9","126","DWV","1.45","Amp","UNKNOWN","26.196","26.103","0.131","424.19614","451.158","38.13","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","21.0","false",
"E10","162","DWV","1.449","Amp","UNKNOWN","17.528","17.488","0.056","113643.93","116648.664","4249.335","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","13.0","false",
"E11","153","DWV","1.44","Amp","UNKNOWN","15.747","15.766","0.026","358373.03","354174.03","5938.259","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","11.0","false",
"E12","144","DWV","1.439","Amp","UNKNOWN","10.883","10.884","0.001","8256429.0","8254530.0","2685.544","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","6.0","false",
"F1","90","DWV","1.382","Amp","UNKNOWN","18.149","16.813","1.889","76146.1","251435.56","247896.72","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","12.0","false",
"F2","174","DWV","1.45","Amp","UNKNOWN","22.582","22.854","0.385","4362.661","3717.262","912.732","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","18.0","false",
"F3","101","DWV","1.415","Amp","UNKNOWN","26.960","27.062","0.145","259.16312","243.093","22.726","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","21.0","false",
"F4","107","DWV","1.429","Amp","UNKNOWN","17.948","17.884","0.091","86650.8","90379.91","5273.752","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","13.0","false",
"F5","151","DWV","1.426","Amp","UNKNOWN","16.899","16.899","0.001","170535.95","170436.05","141.294","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","12.0","false",
"F6","128","DWV","1.452","Amp","UNKNOWN","22.762","22.755","0.01","3885.8691","3903.261","24.596","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","17.0","false",
"F7","161","DWV","1.453","Amp","UNKNOWN","17.920","17.956","0.052","88275.17","86232.46","2888.828","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","13.0","false",
"F8","86","DWV","1.456","Amp","UNKNOWN","23.758","23.786","0.039","2043.4196","2007.324","51.047","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","19.0","false",
"F9","126","DWV","1.445","Amp","UNKNOWN","26.010","26.103","0.131","478.12015","451.158","38.13","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","21.0","false",
"F10","162","DWV","1.447","Amp","UNKNOWN","17.448","17.488","0.056","119653.4","116648.664","4249.335","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","13.0","false",
"F11","153","DWV","1.441","Amp","UNKNOWN","15.784","15.766","0.026","349975.06","354174.03","5938.259","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","11.0","false",
"F12","144","DWV","1.437","Amp","UNKNOWN","10.884","10.884","0.001","8252631.0","8254530.0","2685.544","35.57592","0.9939175","-3.569952","90.6","true","0.151","true","3.0","6.0","false",
"G1","90","ACTIN","1.56","Amp","UNKNOWN","16.048","16.12","0.103","465575.8","444791.4","29393.57","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"G2","174","ACTIN","1.458","Amp","UNKNOWN","16.712","16.486","0.321","303403.34","354929.44","72868.914","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"G3","101","ACTIN","1.553","Amp","UNKNOWN","16.409","16.385","0.034","368911.66","374630.34","8087.443","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"G4","107","ACTIN","1.56","Amp","UNKNOWN","16.511","16.505","0.008","345462.75","346698.34","1747.405","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"G5","151","ACTIN","1.556","Amp","UNKNOWN","16.382","16.393","0.014","375281.2","372837.47","3455.928","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"G6","128","ACTIN","1.557","Amp","UNKNOWN","16.374","16.45","0.108","377380.78","359683.03","25028.396","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"G7","161","ACTIN","1.551","Amp","UNKNOWN","16.310","16.251","0.083","393340.1","408845.1","21927.365","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"G8","86","ACTIN","1.553","Amp","UNKNOWN","16.316","16.311","0.007","391789.78","393077.6","1821.276","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"G9","126","ACTIN","1.553","Amp","UNKNOWN","16.460","16.495","0.05","356979.6","349030.53","11241.676","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"G10","162","ACTIN","1.559","Amp","UNKNOWN","16.075","16.032","0.062","457393.66","470689.94","18803.805","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"G11","153","ACTIN","1.551","Amp","UNKNOWN","16.601","16.606","0.007","326073.25","325022.2","1486.458","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","11.0","false",
"G12","144","ACTIN","1.54","Amp","UNKNOWN","16.663","16.723","0.085","313166.0","301520.97","16468.578","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"H1","90","ACTIN","1.552","Amp","UNKNOWN","16.193","16.12","0.103","424007.0","444791.4","29393.57","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","9.0","false",
"H2","174","ACTIN","1.552","Amp","UNKNOWN","16.259","16.486","0.321","406455.53","354929.44","72868.914","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"H3","101","ACTIN","1.555","Amp","UNKNOWN","16.362","16.385","0.034","380349.03","374630.34","8087.443","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"H4","107","ACTIN","1.559","Amp","UNKNOWN","16.500","16.505","0.008","347933.97","346698.34","1747.405","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"H5","151","ACTIN","1.555","Amp","UNKNOWN","16.403","16.393","0.014","370393.78","372837.47","3455.928","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"H6","128","ACTIN","1.554","Amp","UNKNOWN","16.527","16.45","0.108","341985.28","359683.03","25028.396","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"H7","161","ACTIN","1.561","Amp","UNKNOWN","16.192","16.251","0.083","424350.1","408845.1","21927.365","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"H8","86","ACTIN","1.549","Amp","UNKNOWN","16.306","16.311","0.007","394365.44","393077.6","1821.276","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"H9","126","ACTIN","1.557","Amp","UNKNOWN","16.531","16.495","0.05","341081.47","349030.53","11241.676","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"H10","162","ACTIN","1.558","Amp","UNKNOWN","15.988","16.032","0.062","483986.25","470689.94","18803.805","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"H11","153","ACTIN","1.548","Amp","UNKNOWN","16.611","16.606","0.007","323971.1","325022.2","1486.458","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",
"H12","144","ACTIN","1.543","Amp","UNKNOWN","16.783","16.723","0.085","289875.9","301520.97","16468.578","36.29999","0.9990826","-3.57306","90.49","true","0.431","true","3.0","10.0","false",

